pickup_latitude|pickup_longitude|PickUpKey|properties.category|properties.addresstype|properties.address.neighbourhood|properties.address.suburb
40.761047|-73.98555|29055|building|building|Hell's Kitchen|Manhattan
40.761047|-73.983955|29056|building|building||Manhattan
40.761047|-73.957634|29057|amenity|amenity|Manhattan Community Board 8|Manhattan
40.761051|-74.000099|29058|building|building|Hell's Kitchen|Manhattan
40.761051|-73.999184|29059|building|building|Hell's Kitchen|Manhattan
40.761051|-73.984482|29060|building|building||Manhattan
40.761051|-73.981689|29061|tourism|tourism|Manhattan Community Board 5|Manhattan
40.761051|-73.959442|29062|building|building|Manhattan Community Board 8|Manhattan
40.761059|-73.99897|29063|place|place|Hell's Kitchen|Manhattan
40.761059|-73.985786|29064|amenity|amenity|Hell's Kitchen|Manhattan
40.761059|-73.969795|29065|building|building|Midtown East|Manhattan
40.761059|-73.96537|29066|building|building|Manhattan Community Board 8|Manhattan
40.761059|-73.963844|29067|amenity|amenity|Lenox Hill|Manhattan
40.761059|-73.908852|29068|building|building||Queens
40.761063|-73.994629|29069|place|place|Hell's Kitchen|Manhattan
40.761063|-73.978592|29070|building|building|Manhattan Community Board 5|Manhattan
40.761066|-73.999023|29071|place|place|Hell's Kitchen|Manhattan
40.761066|-73.99897|29072|place|place|Hell's Kitchen|Manhattan
40.761066|-73.99279|29073|building|building|Hell's Kitchen|Manhattan
40.761066|-73.969643|29074|building|building|Midtown East|Manhattan
40.761066|-73.969215|29075|building|building|Midtown East|Manhattan
40.761066|-73.960999|29076|amenity|amenity|Yorkville|Manhattan
40.76107|-73.999107|29077|building|building|Hell's Kitchen|Manhattan
40.76107|-73.976646|29078|building|building|Manhattan Community Board 5|Manhattan
